((31, 37, 22), 8)
((46, 66, 22), 8)
((54, 68, 29), 8)
((18, 39, 24), 8)
((13, 38, 25), 8)
((47, 66, 23), 8)
((39, 33, 12), 8)
((63, 63, 62), 8)
((54, 48, 45), 8)
((45, 63, 19), 8)
((44, 44, 35), 8)
((30, 32, 16), 8)
((49, 62, 21), 8)
((63, 56, 57), 8)
((38, 40, 28), 8)
((49, 63, 22), 8)
((68, 68, 69), 8)
((54, 58, 52), 8)
((15, 36, 23), 8)
((52, 60, 23), 8)
((54, 60, 25), 8)
((24, 34, 17), 8)
((10, 44, 32), 8)
((6, 39, 31), 8)
((45, 40, 33), 8)
((40, 26, 19), 8)
((42, 43, 33), 8)
((66, 60, 62), 8)
((4, 46, 37), 8)
((69, 67, 69), 8)
((42, 58, 13), 8)
((39, 60, 15), 8)
((41, 63, 18), 8)
((28, 29, 13), 8)
((20, 30, 15), 8)
((38, 31, 22), 8)
((54, 71, 31), 8)
((10, 37, 26), 8)
((24, 20, 4), 8)
((56, 67, 30), 8)
((13, 32, 21), 8)
((6, 38, 28), 8)
((9, 42, 31), 8)
((38, 32, 23), 8)
((70, 66, 69), 8)
((38, 30, 22), 8)
((10, 42, 30), 8)
((22, 28, 12), 8)
((20, 34, 19), 8)
((45, 69, 25), 8)
((32, 34, 20), 8)
((5, 37, 30), 8)
((50, 70, 28), 8)
((41, 23, 22), 8)
((25, 21, 5), 8)
((2, 44, 37), 8)
((28, 34, 16), 8)
((41, 67, 22), 8)
((2, 37, 33), 8)
((39, 27, 18), 8)
((40, 29, 16), 8)
((60, 66, 62), 8)
((66, 63, 64), 8)
((44, 60, 16), 8)
((59, 73, 36), 8)
((46, 42, 35), 8)
((57, 61, 28), 8)
((17, 30, 17), 8)
((40, 64, 19), 8)
((55, 65, 28), 8)
((2, 42, 36), 8)
((46, 74, 30), 8)
((41, 44, 33), 8)
((20, 35, 18), 8)
((70, 73, 74), 8)
((61, 61, 59), 8)
((41, 22, 23), 8)
((54, 69, 30), 8)
((40, 66, 21), 8)
((44, 73, 28), 8)
((41, 66, 21), 8)
((40, 69, 24), 8)
((40, 65, 20), 8)
((27, 35, 16), 8)
((15, 41, 27), 8)
((47, 56, 17), 8)
((31, 28, 15), 8)
((43, 19, 26), 8)
((39, 59, 14), 8)
((1, 35, 34), 8)
((32, 30, 16), 8)
((37, 52, 7), 8)
((64, 73, 40), 8)
((58, 72, 35), 8)
((43, 69, 24), 8)
((17, 39, 24), 8)
((37, 27, 18), 8)
((6, 46, 36), 8)
